Players,2022 Set,Country,State Association,Age,Specialism,Batting Style,Bowling Style,Test caps,ODI caps,T20 caps,IPL,Previous IPLTeam(s),2021 Team,2021 IPL,C/U/A,Reserve Price Rs Lakh,Price Paid,Team,Bid
Divyang Hinganekar,UAL11,India,MACA,28,ALL-ROUNDER,RHB,LEFT ARM Fast Medium,0.0,0.0,0.0,0.0,Do No Play,Do No Play,0.0,Uncapped,20,0.0,UnSold,UnSold
Azim Kazi,UAL11,India,MACA,28,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,0.0,0.0,0.0,0.0,Do No Play,Do No Play,0.0,Uncapped,20,0.0,UnSold,UnSold
Sujit Nayak,UAL11,India,MCA,32,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,0.0,0.0,0.0,0.0,Do No Play,Do No Play,0.0,Uncapped,20,0.0,UnSold,UnSold
Parth Sahani,UAL11,India,MPCA,29,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,0.0,0.0,0.0,0.0,Do No Play,Do No Play,0.0,Uncapped,20,0.0,UnSold,UnSold
Ashutosh Sharma,UAL11,India,MPCA,23,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,0.0,0.0,0.0,0.0,Do No Play,Do No Play,0.0,Uncapped,20,0.0,UnSold,UnSold
Vivrant Sharma,UAL11,India,JKCA,22,ALL-ROUNDER,LHB,RIGHT ARM Leg Spin,0.0,0.0,0.0,0.0,Do No Play,Do No Play,0.0,Uncapped,20,0.0,UnSold,UnSold
Kumar Kartikeya Singh,UAL11,India,MPCA,24,ALL-ROUNDER,RHB,LEFT ARM Slow Orthodox,0.0,0.0,0.0,0.0,Do No Play,Do No Play,0.0,Uncapped,20,0.0,UnSold,UnSold
Ravi Chauhan,UAL12,India,SSCB,28,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,0.0,0.0,0.0,0.0,Do No Play,Do No Play,0.0,Uncapped,20,0.0,UnSold,UnSold
Shubham Garhwal,UAL12,India,RCA,26,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,0.0,0.0,0.0,0.0,Do No Play,Do No Play,0.0,Uncapped,20,2000000.0,RR,Sold
Shafiqullah Ghafari,UAL12,Afghanistan,F,20,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,0.0,0.0,0.0,0.0,Do No Play,Do No Play,0.0,Uncapped,20,0.0,UnSold,UnSold
